,ABV,Coin,Market Cap,Percent Change,Price
0,BTC,Bitcoin,1.12849376868e+11,-3.34%,$6525.14
1,ETH,Ethereum,22257761916.8,-5.46%,$217.67
2,XRP,XRP,21210379540.4,-1.71%,$0.531976
3,BCH,Bitcoin Cash,9064639454.58,-6.23%,$521.72
4,EOS,EOS,5068638842.19,-5.15%,$5.59
5,XLM,Stellar,4641426276.06,-5.18%,$0.247016
6,LTC,Litecoin,3499969490.21,-6.11%,$59.83
7,USDT,Tether,2808418349.89,0.07%,$1.00
8,ADA,Cardano,2136017685.98,-5.37%,$0.082386
9,XMR,Monero,1863234000.53,-6.18%,$113.29
10,MIOTA,IOTA,1554423564.49,-3.93%,$0.559240
11,DASH,Dash,1546062954.53,-4.81%,$185.23
12,TRX,TRON,1413293125.06,-5.60%,$0.021496
13,NEO,NEO,1211727415.7,-7.03%,$18.64
14,ETC,Ethereum Classic,1164816068.43,-3.56%,$11.10
15,BNB,Binance Coin,1149832683.41,-3.86%,$9.79
16,XEM,NEM,843876689.693,-4.23%,$0.093764
17,XTZ,Tezos,843838794.606,-3.94%,$1.39
18,VET,VeChain,706221889.629,-5.27%,$0.012735
19,DOGE,Dogecoin,673411633.189,-2.62%,$0.005789
20,ZEC,Zcash,646337988.738,-6.90%,$131.87
21,OMG,OmiseGO,486333796.402,-4.80%,$3.47
22,BTG,Bitcoin Gold,447191660.204,-2.74%,$25.91
23,BCN,Bytecoin,404783501.575,-10.89%,$0.002199
24,LSK,Lisk,367181359.55,-3.51%,$3.32
25,ONT,Ontology,358606874.935,-3.16%,$1.95
26,ZRX,0x,342316925.671,-8.04%,$0.634036
27,MKR,Maker,338772964.751,-2.42%,$465.20
28,QTUM,Qtum,333747634.361,-5.05%,$3.75
29,DCR,Decred,327608908.606,-2.72%,$38.31
30,BTS,BitShares,299850112.695,-4.64%,$0.112662
31,NANO,Nano,293049135.531,-6.59%,$2.20
32,BCD,Bitcoin Diamond,290985701.06,-1.70%,$1.89
33,ZIL,Zilliqa,267776919.15,-3.26%,$0.034417
34,DGB,DigiByte,264792150.363,-3.65%,$0.024391
35,STEEM,Steem,253674995.641,-4.81%,$0.913647
36,ICX,ICON,248060157.178,-6.08%,$0.640269
37,AE,Aeternity,230362943.125,-2.59%,$0.988595
38,SC,Siacoin,224427855.767,-4.54%,$0.006049
39,WAVES,Waves,218878858.782,-3.57%,$2.19
40,XVG,Verge,215045288.806,-4.94%,$0.014174
41,BTM,Bytom,177790797.485,-3.66%,$0.177348
42,ETP,Metaverse ETP,171364583.212,-2.69%,$3.30
43,NPXS,Pundi X,169417029.639,-1.47%,$0.001481
44,BAT,Basic Attenti...,162975373.865,-7.33%,$0.162975
45,STRAT,Stratis,152222259.73,-4.75%,$1.54
46,ETN,Electroneum,148592674.885,-24.04%,$0.018572
47,GNT,Golem,144936821.925,-2.58%,$0.151095
48,REP,Augur,142809481.855,-3.93%,$12.98
49,KMD,Komodo,132290384.372,1.51%,$1.20
50,ARDR,Ardor,131795923.153,1.69%,$0.131928
51,HOT,Holo,131123399.941,-7.28%,$0.000984
52,SNT,Status,130467522.984,-1.16%,$0.037593
53,XET,ETERNAL TOKEN,118740764.768,-14.19%,$1.96
54,PPT,Populous,116747558.362,-2.99%,$3.15
55,CNX,Cryptonex,115598713.332,-1.45%,$2.08
56,LINK,Chainlink,115070006.774,-4.42%,$0.328771
57,KCS,KuCoin Shares,114262986.583,-3.95%,$1.26
58,MITH,Mithril,113972601.258,-3.08%,$0.294205
59,WTC,Waltonchain,113452768.599,-5.01%,$2.83
60,MAID,MaidSafeCoin,109549769.108,-2.86%,$0.242071
61,MOAC,MOAC,108191924.928,-4.08%,$1.73
62,RDD,ReddCoin,107066442.712,4.33%,$0.003716
63,TUSD,TrueUSD,104018276.925,0.17%,$1.00
64,IOST,IOST,101505786.702,-5.59%,$0.012084
65,RHOC,RChain,97923904.272,-3.18%,$0.255662
66,WAN,Wanchain,95734648.8994,-6.88%,$0.901860
67,HC,HyperCash,95654816.6079,-4.33%,$2.20
68,AION,Aion,91333726.8389,-6.15%,$0.406298
69,HT,Huobi Token,88413215.3839,-0.04%,$1.77
70,DROP,Dropil,83983019.1573,-3.50%,$0.003820
71,MONA,MonaCoin,83774253.3893,-2.73%,$1.34
72,ELF,aelf,82755390.1293,-2.87%,$0.331022
73,BNT,Bancor,82314867.3548,-5.18%,$1.42
74,DCN,Dentacoin,81379133.1526,-8.35%,$0.000250
75,GXS,GXChain,81220067.5062,-10.98%,$1.35
76,ZEN,Horizen,79280452.1125,-2.28%,$16.44
77,FUN,FunFair,79237889.5699,-5.90%,$0.015813
78,AOA,Aurora,78894653.3626,-5.24%,$0.022800
79,MANA,Decentraland,77051165.3028,-6.32%,$0.073372
80,QASH,QASH,77035721.6156,-3.78%,$0.220102
81,ARK,Ark,74001948.6025,-5.12%,$0.701822
82,DGD,DigixDAO,72744932.5608,-5.96%,$36.37
83,PAY,TenX,71941326.9529,-3.80%,$0.657913
84,CMT,CyberMiles,71193421.8603,9.53%,$0.102092
85,MCO,Crypto.com,70203075.1421,-1.41%,$4.44
86,NXT,Nxt,68526804.5908,-3.46%,$0.068595
87,NAS,Nebulas,63174370.7463,-3.94%,$1.39
88,XIN,Mixin,62938011.147,-4.71%,$141.92
89,POWR,Power Ledger,62857156.1693,-5.24%,$0.162703
90,WAX,WAX,62703759.1594,-2.29%,$0.067078
91,THETA,Theta Token,62486293.4325,-5.24%,$0.091354
92,GAS,Gas,62226196.0916,-26.06%,$6.14
93,PIVX,PIVX,61762288.4805,9.39%,$1.09
94,DRGN,Dragonchain,56548093.0848,-1.65%,$0.237177
95,XZC,ZCoin,56148492.4772,2.75%,$9.78
96,DAI,Dai,55751502.2441,0.16%,$1.00
97,LRC,Loopring,55357347.5877,-2.99%,$0.096766
98,LOOM,Loom Network,53988600.9462,-5.97%,$0.091122
99,BTCP,Bitcoin Private,53604714.21,-5.20%,$2.61
100,BTC,Bitcoin,1.12849376868e+11,-3.34%,$6525.14
101,ETH,Ethereum,22257761916.8,-5.46%,$217.67
102,XRP,XRP,21210379540.4,-1.71%,$0.531976
103,BCH,Bitcoin Cash,9064639454.58,-6.23%,$521.72
104,EOS,EOS,5068638842.19,-5.15%,$5.59
105,XLM,Stellar,4641426276.06,-5.18%,$0.247016
106,LTC,Litecoin,3499969490.21,-6.11%,$59.83
107,USDT,Tether,2808418349.89,0.07%,$1.00
108,ADA,Cardano,2136017685.98,-5.37%,$0.082386
109,XMR,Monero,1863234000.53,-6.18%,$113.29
110,MIOTA,IOTA,1554423564.49,-3.93%,$0.559240
111,DASH,Dash,1546062954.53,-4.81%,$185.23
112,TRX,TRON,1413293125.06,-5.60%,$0.021496
113,NEO,NEO,1211727415.7,-7.03%,$18.64
114,ETC,Ethereum Classic,1164816068.43,-3.56%,$11.10
115,BNB,Binance Coin,1149832683.41,-3.86%,$9.79
116,XEM,NEM,843876689.693,-4.23%,$0.093764
117,XTZ,Tezos,843838794.606,-3.94%,$1.39
118,VET,VeChain,706221889.629,-5.27%,$0.012735
119,DOGE,Dogecoin,673411633.189,-2.62%,$0.005789
120,ZEC,Zcash,646337988.738,-6.90%,$131.87
121,OMG,OmiseGO,486333796.402,-4.80%,$3.47
122,BTG,Bitcoin Gold,447191660.204,-2.74%,$25.91
123,BCN,Bytecoin,404783501.575,-10.89%,$0.002199
124,LSK,Lisk,367181359.55,-3.51%,$3.32
125,ONT,Ontology,358606874.935,-3.16%,$1.95
126,ZRX,0x,342316925.671,-8.04%,$0.634036
127,MKR,Maker,338772964.751,-2.42%,$465.20
128,QTUM,Qtum,333747634.361,-5.05%,$3.75
129,DCR,Decred,327608908.606,-2.72%,$38.31
130,BTS,BitShares,299850112.695,-4.64%,$0.112662
131,NANO,Nano,293049135.531,-6.59%,$2.20
132,BCD,Bitcoin Diamond,290985701.06,-1.70%,$1.89
133,ZIL,Zilliqa,267776919.15,-3.26%,$0.034417
134,DGB,DigiByte,264792150.363,-3.65%,$0.024391
135,STEEM,Steem,253674995.641,-4.81%,$0.913647
136,ICX,ICON,248060157.178,-6.08%,$0.640269
137,AE,Aeternity,230362943.125,-2.59%,$0.988595
138,SC,Siacoin,224427855.767,-4.54%,$0.006049
139,WAVES,Waves,218878858.782,-3.57%,$2.19
140,XVG,Verge,215045288.806,-4.94%,$0.014174
141,BTM,Bytom,177790797.485,-3.66%,$0.177348
