,ABV,Coin,Market Cap,Percent Change,Price
0,BTC,Bitcoin,1.13599776451e+11,-0.38%,$6564.21
1,ETH,Ethereum,22641426732.1,-1.33%,$221.15
2,XRP,XRP,20493275249.8,-4.85%,$0.513161
3,BCH,Bitcoin Cash,8893569546.34,-2.42%,$511.56
4,EOS,EOS,5172803238.79,0.58%,$5.71
5,XLM,Stellar,4621165276.94,0.35%,$0.245874
6,LTC,Litecoin,3380056221.44,-1.55%,$57.69
7,USDT,Tether,2800872583.31,-0.01%,$0.998023
8,ADA,Cardano,2094831913.09,-1.62%,$0.080797
9,XMR,Monero,1870728915.26,-0.51%,$113.63
10,MIOTA,IOTA,1565553329.94,1.30%,$0.563244
11,DASH,Dash,1506832453.26,-0.22%,$180.16
12,TRX,TRON,1491400031.51,2.99%,$0.022684
13,BNB,Binance Coin,1229245740.4,1.92%,$10.47
14,NEO,NEO,1162775701.63,-2.06%,$17.89
15,ETC,Ethereum Classic,1156543042.28,-0.98%,$11.01
16,XEM,NEM,938219519.722,-3.75%,$0.104247
17,XTZ,Tezos,795102409.618,-1.00%,$1.31
18,VET,VeChain,710754746.143,-0.68%,$0.012817
19,DOGE,Dogecoin,661584997.927,-0.71%,$0.005683
20,ZEC,Zcash,641080705.688,5.21%,$129.64
21,OMG,OmiseGO,483435576.527,-1.06%,$3.45
22,BTG,Bitcoin Gold,442768679.189,-1.02%,$25.64
23,BCN,Bytecoin,407001873.581,-2.75%,$0.002211
24,MKR,Maker,385708047.864,5.85%,$529.65
25,LSK,Lisk,364131615.049,-0.88%,$3.29
26,DCR,Decred,355490716.433,5.84%,$41.40
27,ONT,Ontology,351273427.579,-0.99%,$1.91
28,ZRX,0x,341121746.058,-0.19%,$0.631547
29,QTUM,Qtum,338169232.084,0.55%,$3.80
30,BCD,Bitcoin Diamond,299562429.842,-3.26%,$1.95
31,BTS,BitShares,295006736.34,-1.19%,$0.110787
32,NANO,Nano,288015057.481,-2.14%,$2.16
33,ZIL,Zilliqa,281158970.497,-2.05%,$0.036136
34,SC,Siacoin,271556766.359,-7.98%,$0.007297
35,DGB,DigiByte,265750627.0,-1.04%,$0.024421
36,ICX,ICON,257474210.978,-2.51%,$0.664567
37,AE,Aeternity,243811400.582,-2.28%,$1.05
38,STEEM,Steem,243260090.667,-1.73%,$0.870337
39,XVG,Verge,231492086.675,-2.73%,$0.015258
40,WAVES,Waves,213398994.83,-0.86%,$2.13
41,NPXS,Pundi X,189823132.463,-0.37%,$0.001512
42,BTM,Bytom,187844848.648,-0.93%,$0.187377
43,BAT,Basic Attenti...,172652642.033,0.35%,$0.172653
44,ETP,Metaverse ETP,166717795.691,0.14%,$3.21
45,HOT,Holo,161094271.007,19.32%,$0.001209
46,ETN,Electroneum,158164793.046,-1.50%,$0.019658
47,STRAT,Stratis,149906433.672,-0.27%,$1.51
48,GNT,Golem,142860478.952,-1.57%,$0.148931
49,REP,Augur,142193563.109,-0.75%,$12.93
50,SNT,Status,131334028.74,1.84%,$0.037843
51,KMD,Komodo,123192279.569,0.35%,$1.12
52,CNX,Cryptonex,118821216.947,0.84%,$2.14
53,PPT,Populous,117862080.86,-4.53%,$3.19
54,TUSD,TrueUSD,117613977.799,-0.25%,$1.00
55,WAN,Wanchain,116131494.085,8.78%,$1.09
56,ARDR,Ardor,113224613.823,-0.66%,$0.113338
57,WTC,Waltonchain,112516445.98,-1.20%,$2.80
58,LINK,Chainlink,111665401.156,0.63%,$0.319044
59,RDD,ReddCoin,111163350.583,-2.48%,$0.003859
60,MITH,Mithril,109056720.492,-2.43%,$0.281515
61,KCS,KuCoin Shares,108708127.254,-2.27%,$1.20
62,IOST,IOST,105818747.444,-2.13%,$0.012597
63,MAID,MaidSafeCoin,103739978.913,-0.21%,$0.229233
64,HC,HyperCash,101727951.18,-0.59%,$2.34
65,XET,ETERNAL TOKEN,101161325.697,12.72%,$1.67
66,AION,Aion,96714112.632,3.63%,$0.430233
67,MOAC,MOAC,96015296.6556,-5.94%,$1.54
68,LRC,Loopring,89798579.2957,4.51%,$0.113815
69,AOA,Aurora,89414203.532,14.29%,$0.025832
70,HT,Huobi Token,87789366.9431,-0.74%,$1.76
71,ELF,aelf,86688531.4085,-1.76%,$0.346754
72,BNT,Bancor,84297652.325,-1.36%,$1.46
73,MANA,Decentraland,83189689.8988,6.01%,$0.079218
74,DCN,Dentacoin,82861196.5466,-1.02%,$0.000255
75,DROP,Dropil,82097697.1579,-1.59%,$0.003727
76,GXS,GXChain,81668513.0514,-2.13%,$1.36
77,CMT,CyberMiles,81082686.95,12.31%,$0.115131
78,RHOC,RChain,79852379.1723,-3.17%,$0.208466
79,ZEN,Horizen,78891479.057,-0.92%,$16.22
80,MONA,MonaCoin,78342027.9484,-3.99%,$1.25
81,FUN,FunFair,77735520.4725,-1.27%,$0.015513
82,DGD,DigixDAO,76120938.2576,0.49%,$38.06
83,QASH,QASH,75768655.4572,-0.84%,$0.216482
84,NAS,Nebulas,75447923.1588,-0.54%,$1.66
85,PAY,TenX,72971556.2247,-1.76%,$0.667334
86,ARK,Ark,72966322.3782,-1.67%,$0.691163
87,MCO,Crypto.com,71984047.1463,-5.99%,$4.56
88,THETA,Theta Token,66611282.8759,5.22%,$0.097385
89,NXT,Nxt,65906038.2003,-1.29%,$0.065972
90,XIN,Mixin,63308002.6263,-0.80%,$142.70
91,WAX,WAX,62858810.9629,-0.87%,$0.067244
92,PIVX,PIVX,62054949.0265,-3.06%,$1.09
93,POWR,Power Ledger,61577860.1257,-1.66%,$0.159371
94,ELA,Elastos,60995663.5256,-0.34%,$7.90
