,ABV,Coin,Market Cap,Percent Change,Price
109,MIOTA,IOTA,1984725769.8,4.90%,$0.714051
110,XMR,Monero,1793873162.34,10.41%,$109.61
111,TRX,TRON,1638390784.71,3.30%,$0.024919
112,DASH,Dash,1541216217.68,2.85%,$185.96
113,ETC,Ethereum Classic,1320520104.87,-0.38%,$12.67
114,NEO,NEO,1282392417.76,4.13%,$19.73
115,BNB,Binance Coin,1028661507.77,1.24%,$10.77
116,VET,VeChain,952061500.656,6.54%,$0.017168
117,XEM,NEM,925545572.096,0.34%,$0.102838
118,XTZ,Tezos,817506527.894,-0.59%,$1.35
119,ZEC,Zcash,692035573.082,-0.07%,$147.42
120,OMG,OmiseGO,589457597.023,2.65%,$4.20
121,LSK,Lisk,520035390.342,2.54%,$4.74
122,ONT,Ontology,461883083.247,5.45%,$2.51
123,DOGE,Dogecoin,430198171.12,19.38%,$0.003711
124,QTUM,Qtum,418053871.475,3.98%,$4.70
125,ZRX,0x,413353802.773,0.34%,$0.769042
126,NANO,Nano,400900227.771,16.37%,$3.01
127,BCN,Bytecoin,390364518.682,7.14%,$0.002123
128,BTG,Bitcoin Gold,373677757.824,-1.07%,$21.72
129,DCR,Decred,355522070.587,3.78%,$42.40
130,ICX,ICON,345620967.182,8.43%,$0.892083
131,ZIL,Zilliqa,335796337.533,3.16%,$0.044345
132,DGB,DigiByte,320694819.458,3.44%,$0.029883
133,BTS,BitShares,304958124.365,1.09%,$0.114856
134,MKR,Maker,291983463.336,-0.11%,$436.95
135,AE,Aeternity,261021928.477,2.28%,$1.12
136,STEEM,Steem,255001120.982,1.21%,$0.930430
137,BAT,Basic Attenti...,220369877.109,0.56%,$0.220370
138,SC,Siacoin,219922096.51,1.54%,$0.006013
139,REP,Augur,217312839.346,0.11%,$19.76
140,XVG,Verge,216655069.392,1.54%,$0.014280
141,WAVES,Waves,207562351.551,-0.34%,$2.08
142,BCD,Bitcoin Diamond,198050865.543,-4.76%,$1.29
143,BTM,Bytom,195443605.535,3.81%,$0.194956
144,WTC,Waltonchain,193379163.5,13.90%,$4.82
145,NPXS,Pundi X,178596495.498,0.13%,$0.001834
146,ETP,Metaverse ETP,168154065.93,-4.01%,$3.35
147,GNT,Golem,166692822.787,8.94%,$0.173776
148,PPT,Populous,159258022.708,-1.23%,$4.30
149,STRAT,Stratis,153246858.5,0.59%,$1.55
150,RHOC,RChain,146588673.321,1.97%,$0.385973
151,MOAC,MOAC,144240667.9,-10.79%,$2.31
152,KMD,Komodo,141357594.047,-0.75%,$1.29
153,SNT,Status,140708280.444,-0.78%,$0.040544
154,WAN,Wanchain,136996534.557,14.77%,$1.29
155,HSR,Hshare,135998151.305,4.35%,$3.13
156,AION,Aion,133692905.682,13.35%,$0.645900
157,KCS,KuCoin Shares,127030635.193,0.65%,$1.40
158,IOST,IOST,124876300.76,3.16%,$0.014866
159,MAID,MaidSafeCoin,119240313.668,-1.08%,$0.263484
160,MITH,Mithril,118333809.615,-0.52%,$0.313903
161,ARDR,Ardor,112872624.209,0.83%,$0.112986
162,DCN,Dentacoin,112130262.567,-5.94%,$0.000345
163,LINK,Chainlink,108014721.174,4.44%,$0.308613
164,HOT,Holo,107579954.577,3.19%,$0.000808
165,HT,Huobi Token,105948451.641,-1.35%,$2.12
166,DGD,DigixDAO,103343779.402,-2.20%,$51.67
167,CNX,Cryptonex,100233003.84,-0.89%,$2.21
168,XIN,Mixin,99649025.6682,0.53%,$225.34
169,ELF,aelf,99292819.1188,1.53%,$0.397171
170,ARK,Ark,94880331.0874,3.82%,$0.904856
171,MONA,MonaCoin,90570272.4018,-2.73%,$1.46
172,BTCP,Bitcoin Private,90439523.3767,-0.65%,$4.41
173,BNT,Bancor,86894007.5193,0.16%,$1.65
174,FUN,FunFair,86775688.2071,0.33%,$0.017318
175,ZEN,Horizen,86382465.0873,0.54%,$18.72
176,GXS,GXChain,85874047.1328,-0.60%,$1.43
177,RDD,ReddCoin,84298067.567,3.56%,$0.002926
178,NAS,Nebulas,83069934.2059,2.93%,$1.83
179,TTU,TaTaTu,80741166.0284,1.79%,$0.834724
180,MANA,Decentraland,80313706.6774,-0.53%,$0.076479
181,ELA,Elastos,78895699.6614,2.95%,$9.95
182,QASH,QASH,75903177.2677,2.02%,$0.216866
183,KIN,Kin,74478313.3893,-1.29%,$0.000099
184,POWR,Power Ledger,73647032.2658,0.34%,$0.194596
185,NULS,Nuls,73047481.634,11.88%,$1.83
186,TUSD,TrueUSD,72719986.8127,-0.18%,$1.00
187,KNC,Kyber Network,72673873.9919,0.01%,$0.541806
188,AOA,Aurora,72372670.4892,6.97%,$0.020916
189,NXT,Nxt,70805815.5166,0.52%,$0.070877
190,WAX,WAX,70418643.7467,0.96%,$0.075650
191,XZC,ZCoin,70264219.974,-0.01%,$12.69
192,LOOM,Loom Network,70234220.3641,3.58%,$0.118930
193,GAS,Gas,69726244.9202,7.58%,$6.88
194,PAY,TenX,69327114.2807,6.43%,$0.634237
195,LRC,Loopring,68511338.7713,0.56%,$0.119760
196,MCO,MCO,68318193.8969,-1.12%,$4.33
197,CMT,CyberMiles,68087789.8636,1.31%,$0.097944
198,NOAH,Noah Coin,67865372.662,-3.84%,$0.002076
199,THETA,Theta Token,66761944.9284,1.97%,$0.100545
200,PIVX,PIVX,64852366.7774,-2.83%,$1.14
201,EMC,Emercoin,64250212.6805,-2.98%,$1.53
202,SUB,Substratum,62796833.1023,9.02%,$0.163951
203,ENG,Enigma,59841987.0371,-2.69%,$0.799640
204,POLY,Polymath,59584533.0289,-1.91%,$0.212931
205,CTXC,Cortex,57604590.858,1.67%,$0.384563
206,SYS,Syscoin,56977092.1136,2.62%,$0.105667
207,DROP,Dropil,54866389.6061,5.29%,$0.002568
208,ODE,ODEM,54283016.686,1.22%,$0.303076
209,NXS,Nexus,53516898.3803,0.38%,$0.915648
210,GBYTE,Byteball Bytes,51857860.2386,-0.89%,$78.24
211,VERI,Veritaseum,50894332.3501,-2.77%,$24.99
212,BIX,Bibox Token,50306186.1889,-1.93%,$0.491563
213,FCT,Factom,49978347.6364,0.29%,$5.72
214,DENT,Dent,49037479.3514,5.65%,$0.002844
215,CVC,Civic,48917508.4901,-1.62%,$0.142742
216,DAI,Dai,48517642.9392,-0.04%,$0.997616
217,ICN,Iconomi,47732266.2933,3.35%,$0.482484
218,DRGN,Dragonchain,47433067.7449,0.82%,$0.198946
219,ETN,Electroneum,45430484.0424,-1.30%,$0.005839
220,STORJ,Storj,45067447.9223,4.03%,$0.331897
221,GTO,Gifto,44344664.5893,0.55%,$0.084015
222,GRS,Groestlcoin,43384333.5321,0.78%,$0.612925
223,SKY,Skycoin,42877223.8277,-1.11%,$4.29
224,SALT,SALT,42680099.4706,5.17%,$0.593545
225,DDD,Scry.info,41929309.7041,-3.98%,$0.095282
226,WICC,WaykiChain,41276003.1549,7.59%,$0.235342
227,SAN,Santiment Net...,40484743.1016,-1.81%,$0.646098
228,SMART,SmartCash,40472678.5119,-5.93%,$0.038407
229,STORM,Storm,40091743.8568,4.20%,$0.008890
230,RVN,Ravencoin,39697787.078,-2.41%,$0.023306
231,PZM,PRIZM,39670050.5597,1.65%,$0.699350
232,MAN,Matrix AI Net...,39360950.8494,2.09%,$0.262406
233,ETHOS,Ethos,38611129.8872,1.86%,$0.491487
234,GNO,Gnosis,37820359.4866,1.77%,$34.24
235,IGNIS,Ignis,37554673.9257,4.54%,$0.049340
236,DIG,Dignity,36808079.7276,-4.47%,$0.070374
237,ZCL,ZClassic,36453466.0608,9.10%,$7.69
238,CENNZ,Centrality,36336425.9773,1.25%,$0.045762
239,NTY,Nexty,36142173.434,-0.75%,$0.000246
240,NCASH,Nucleus Vision,35464482.5994,12.26%,$0.007692
241,FSN,Fusion,35443249.6071,-0.08%,$1.19
242,REQ,Request Network,34038120.134,2.10%,$0.046932
243,VTC,Vertcoin,33951045.9305,-1.07%,$0.741842
244,SAFEX,Safe Exchange...,33850892.7573,2.34%,$0.021936
245,NEXO,Nexo,33771098.5168,3.82%,$0.060306
246,AUTO,Cube,33007572.9397,-5.54%,$0.004872
247,ENJ,Enjin Coin,32898230.8593,2.41%,$0.043231
248,CVT,CyberVein,32780290.5274,-6.70%,$0.030964
249,HPB,High Performa...,32613972.1034,-4.38%,$0.874308
250,RLC,iExec RLC,32417956.2203,2.07%,$0.404866
251,CRPT,Crypterium,31593625.0449,-1.46%,$0.398424
252,BRD,Bread,31432072.8226,-0.15%,$0.354228
253,GO,GoChain,31403959.6376,7.87%,$0.062266
254,TEN,Tokenomy,31390702.4276,-2.62%,$0.156954
255,PPC,Peercoin,30892101.4818,2.64%,$1.24
256,BLOCK,Blocknet,30281882.6851,0.04%,$5.70
257,C20,CRYPTO20,29598545.1636,0.79%,$0.733662
258,ANT,Aragon,29075342.401,-2.16%,$1.03
259,NEBL,Neblio,29039881.0549,0.96%,$2.15
260,SOC,All Sports,28531501.8585,6.10%,$0.019483
261,BFT,BnkToTheFuture,28420209.1572,4.71%,$0.045112
262,QKC,QuarkChain,28333888.6286,11.24%,$0.037864
263,NEC,Nectar,28281046.1915,2.28%,$0.343412
264,CND,Cindicator,28194526.8735,0.98%,$0.019499
265,DAX,DAEX,27980981.6854,0.23%,$0.075558
266,ATX,Aston,27876976.7775,-1.03%,$0.033831
267,TNB,Time New Bank,27766909.5123,-0.30%,$0.011758
268,ACT,Achain,27440348.0571,13.05%,$0.041823
269,SMT,SmartMesh,27362023.5953,4.36%,$0.019355
270,PART,Particl,26863053.1577,-3.76%,$3.33
271,AGI,SingularityNET,26861172.6212,1.31%,$0.049773
272,EDO,Eidoo,26816442.6004,2.06%,$0.916442
273,BLZ,Bluzelle,26611170.7923,8.99%,$0.139167
274,QSP,Quantstamp,25891129.4893,2.83%,$0.041942
275,LCC,Litecoin Cash,25889538.3542,5.89%,$0.044294
276,LKY,Linkey,25856434.587,2.80%,$0.735076
277,UNO,Unobtanium,25797411.9287,-0.55%,$129.53
278,XWC,WhiteCoin,25631440.2946,-7.43%,$0.102699
279,DATA,Streamr DATAcoin,25146203.9779,-1.44%,$0.037135
280,EDG,Edgeless,25145451.2368,-2.84%,$0.262919
281,PLR,Pillar,25037177.7097,1.08%,$0.096539
282,BCO,BridgeCoin,25026036.1162,-0.88%,$0.926890
283,BOS,BOScoin,25008570.9672,2.77%,$0.056007
284,TRUE,TrueChain,25004622.1943,4.99%,$0.538327
285,SKB,Sakura Bloom,24997871.5115,-7.19%,$0.009678
286,RDN,Raiden Networ...,24732864.7251,10.35%,$0.492992
287,CS,Credits,24732555.0828,7.51%,$0.177725
288,ITC,IoT Chain,24439315.26,57.70%,$0.390362
289,BHPC,BHPCash,24435293.8903,-1.04%,$1.10
290,POE,Po.et,24403777.0109,3.66%,$0.010441
291,AMB,Ambrosus,24298060.5264,7.82%,$0.168047
292,BCI,Bitcoin Interest,24278125.5416,-12.60%,$1.32
293,R,Revain,24196233.2369,1.86%,$0.129773
294,UBQ,Ubiq,24130266.4272,-1.56%,$0.570490
295,XET,ETERNAL TOKEN,23967945.6899,-9.70%,$0.396558
296,NMC,Namecoin,23898543.6567,7.08%,$1.62
297,XPM,Primecoin,23548234.9725,6.32%,$0.950912
298,TEL,Telcoin,23035487.7361,0.19%,$0.000719
299,TPAY,TokenPay,22988239.2583,-5.47%,$1.48
300,RKT,Rock,22913627.1041,4.70%,$0.048871
301,VEE,BLOCKv,22642137.8925,5.22%,$0.011499
302,GVT,Genesis Vision,22618042.3202,1.39%,$6.07
303,TKY,THEKEY,22255604.315,6.86%,$0.004398
304,SRN,SIRIN LABS Token,22090110.5868,2.26%,$0.096355
305,MEDX,MediBloc [ERC20],21791812.2909,-2.80%,$0.006895
306,MDS,MediShares,21752793.9154,3.29%,$0.021091
307,BAY,BitBay,21565379.4033,8.97%,$0.021307
308,BITCNY,bitCNY,21425433.3269,-0.59%,$0.151733
309,FXT,FuzeX,21270972.1563,-12.10%,$0.028655
310,MFT,Mainframe,21265791.0778,14.37%,$0.008363
311,XDN,DigitalNote,21159513.0634,7.68%,$0.003064
312,EDR,Endor Protocol,21131546.447,0.29%,$0.039019
313,POA,POA Network,21014073.4955,6.52%,$0.095935
314,WGR,Wagerr,20924776.6456,2.04%,$0.114343
315,VIA,Viacoin,20862036.8493,-1.89%,$0.903756
316,ABT,Arcblock,20613854.8086,12.34%,$0.220516
317,BTCD,BitcoinDark,20489663.7217,0.30%,$15.90
318,DBC,DeepBrain Chain,20471791.2259,2.16%,$0.013648
319,SNM,SONM,20366949.9506,1.86%,$0.056638
320,XAS,Asch,20277862.883,-1.18%,$0.217212
321,RUFF,Ruff,20239095.1547,16.65%,$0.021767
322,SPHTX,SophiaTX,20117490.8718,-1.14%,$0.104111
323,STQ,Storiqa,19943994.302,7.85%,$0.002031
324,GNX,Genaro Network,19942281.7382,-1.89%,$0.060233
325,MOD,Modum,19633674.1499,0.28%,$0.923234
326,GTC,Game.com,19285997.8543,0.18%,$0.025328
327,CPC,CPChain,18800521.2566,2.44%,$0.049900
328,BTO,Bottos,18673913.5639,1.74%,$0.036616
329,DEW,DEW,18584084.6003,2.17%,$0.180001
330,DTR,Dynamic Tradi...,18533859.7305,-12.97%,$0.015216
331,QRL,Quantum Resis...,18532625.4696,-1.60%,$0.356397
332,BTX,Bitcore,18500125.9094,0.87%,$1.18
333,MTC,Docademic,18340378.9827,0.81%,$0.083127
334,LEO,LEOcoin,18188583.0778,12.06%,$0.178770
335,UCASH,UNIVERSAL CASH,17959268.3874,-3.43%,$0.002201
336,BURST,Burst,17902147.7334,0.16%,$0.009049
337,ECA,Electra,17898375.7986,5.55%,$0.000653
338,KEY,Selfkey,17600895.8053,8.75%,$0.007240
339,CSC,CasinoCoin,17568246.6574,14.29%,$0.000488
340,EMC2,Einsteinium,17384422.0831,-0.32%,$0.079929
341,SLS,SaluS,17200848.0977,-0.36%,$17.01
342,NAV,NavCoin,17129687.2883,0.58%,$0.270944
343,KICK,KickCoin,17027617.4114,-1.23%,$0.032744
344,COV,Covesting,16993200.4673,-0.56%,$0.971040
345,PRE,Presearch,16834679.1079,-2.07%,$0.108611
346,PPP,PayPie,16816456.4694,0.00%,$0.203836
347,ION,ION,16706167.0142,-1.42%,$0.778700
348,SCRL,Scroll,16629550.9212,-6.81%,$0.116834
349,GCR,Global Curren...,16560674.7304,-0.64%,$0.158400
350,PURA,Pura,16543612.823,-4.89%,$0.094807
351,MTL,Metal,16535725.4304,0.27%,$0.644195
352,EOSDAC,eosDAC,16461244.0319,-1.79%,$0.024913
353,NGC,NAGA,16368663.4547,-1.67%,$0.283822
354,OCN,Odyssey,16269664.4075,-0.29%,$0.003425
355,LGO,LGO Exchange,16218451.3497,-2.03%,$0.127523
356,DBET,DecentBet,16192955.7267,-9.01%,$0.124021
357,LYL,LoyalCoin,16131318.7411,-2.88%,$0.003269
358,DCC,Distributed C...,16049658.3753,-0.27%,$0.011426
359,JNT,Jibrel Network,15993482.2477,-1.05%,$0.099959
360,LEND,ETHLend,15860627.466,6.57%,$0.014419
361,IOTX,IoTeX,15656936.8297,2.55%,$0.013722
362,MNX,MinexCoin,15594760.7665,-3.89%,$3.74
363,XBY,XTRABYTES,15329523.0168,1.70%,$0.035650
364,SBD,Steem Dollars,15317562.6916,-0.20%,$0.989456
365,SEELE,Seele,15286871.2397,1.31%,$0.026470
366,TCT,TokenClub,15285832.6993,-1.39%,$0.031751
367,ZPT,Zeepin,15273762.6451,2.86%,$0.030548
368,ADX,AdEx,15271457.8827,4.74%,$0.207971
369,QLC,QLC Chain,15218932.2131,7.83%,$0.063412
370,AST,AirSwap,15204745.4104,-3.62%,$0.101365
371,NEU,Neumark,15164463.6589,-3.30%,$0.527551
372,XSN,Stakenet,15126777.7109,3.15%,$0.213775
373,$PAC,PACcoin,15011167.7177,-0.43%,$0.003348
374,NANJ,NANJCOIN,14813745.1052,-0.10%,$0.000765
375,DNT,district0x,14634599.0521,1.82%,$0.024391
376,GAME,GameCredits,14612411.6519,-1.49%,$0.227058
377,UTK,UTRUST,14557569.46,-0.42%,$0.035085
378,PHX,Red Pulse Pho...,14494343.9214,2.36%,$0.017472
379,EURS,STASIS EURS,14295456.3016,-0.44%,$1.16
380,SNGLS,SingularDTV,14293386.4996,1.13%,$0.023822
381,REN,Republic Prot...,14085801.8276,0.54%,$0.024099
382,WAB,WABnetwork,14034831.5939,-24.17%,$0.001570
383,TRAC,OriginTrail,13993075.358,1.62%,$0.050343
384,OST,OST,13685922.8424,7.06%,$0.036783
385,TIO,Trade Token,13643141.0387,0.87%,$0.151723
386,PAYX,Paypex,13567384.9658,87.99%,$0.198270
387,HYDRO,Hydro,13507951.9023,43.54%,$0.004988
388,APIS,APIS,13505707.8449,33.40%,$0.003058
389,CPT,Cryptaur,13434367.3301,2.05%,$0.001866
390,MDA,Moeda Loyalty...,13426614.0009,0.34%,$0.684023
391,RNT,OneRoot Network,13355735.5482,14.89%,$0.054965
392,XCP,Counterparty,13275094.5002,-0.59%,$5.07
393,LBA,Libra Credit,13184663.1762,-4.47%,$0.045526
394,EKT,EDUCare,13071476.17,-2.42%,$0.029048
395,COB,Cobinhood,13055901.4978,4.88%,$0.035161
396,SPANK,SpankChain,13047422.5178,-4.20%,$0.043485
397,HVN,Hive Project,13031801.9035,1.33%,$0.034751
398,XTO,Tao,12964616.4301,-4.32%,$0.391021
399,INT,Internet Node...,12936281.4042,6.30%,$0.042374
400,WINGS,Wings,12857313.6557,-2.17%,$0.143324
401,TOMO,TomoChain,12794035.135,-6.53%,$0.232619
402,MED,MediBloc [QRC20],12697079.4015,0.52%,$0.004280
403,SPD,SPINDLE,12676262.9737,-0.53%,$0.003040
404,TERN,Ternio,12600908.8395,3.84%,$0.030793
405,MSP,Mothership,12539503.3235,-1.98%,$0.089568
406,AEON,Aeon,12457725.6063,-0.79%,$0.786897
407,BOX,ContentBox,12398515.7318,1.41%,$0.020145
408,SOAR,Soarcoin,12287479.1302,-9.99%,$0.011419
409,PAI,PCHAIN,12287323.6148,1.05%,$0.028022
410,BAX,BABB,12258527.1773,0.11%,$0.000584
411,ECC,ECC,12184596.5189,-3.21%,$0.000487
412,DTA,DATA,12063510.4639,19.16%,$0.002607
413,BITG,Bitcoin Green,11992197.4571,2.78%,$2.54
414,DGTX,Digitex Futures,11887062.5782,1.87%,$0.016982
415,CLOAK,CloakCoin,11784584.1776,1.28%,$2.27
416,FTC,Feathercoin,11726920.1426,0.09%,$0.055618
417,MOBI,Mobius,11714908.0974,-2.27%,$0.030347
418,NLG,Gulden,11702016.423,3.12%,$0.028323
419,VITE,VITE,11548295.3816,-3.70%,$0.045544
420,MET,Metronome,11466493.6331,0.48%,$1.43
421,MWAT,Restart Energ...,11359380.9633,-0.98%,$0.026870
422,RNTB,BitRent,11313443.4688,0.67%,$0.013440
423,BITUSD,bitUSD,11268665.1089,0.16%,$1.07
424,WPR,WePower,11226907.8341,5.32%,$0.023600
425,NKN,NKN,11188216.5336,-0.57%,$0.064649
426,TKN,TokenCard,11064973.7649,0.02%,$0.457271
427,MGO,MobileGo,11046142.7579,-4.24%,$0.112683
428,HMQ,Humaniq,10974920.598,8.51%,$0.059232
429,RFR,Refereum,10909589.5417,4.01%,$0.004574
430,REPO,REPO,10885082.2784,0.72%,$0.098993
431,GIN,GINcoin,10881814.4455,10.31%,$3.73
432,CNN,Content Neutr...,10666785.9125,-4.17%,$0.000620
433,RCN,Ripio Credit ...,10628934.0851,8.07%,$0.021622
434,TTC,TTC Protocol,10588218.0274,-4.88%,$0.046984
435,AU,AurumCoin,10484429.3782,41.74%,$35.18
436,BWK,Bulwark,10473679.7445,-0.40%,$0.944402
437,XYO,XYO Network,10199470.6124,-8.21%,$0.002217
438,INK,Ink,10190702.4228,6.06%,$0.021967
439,APPC,AppCoins,10187914.0958,6.86%,$0.101824
440,LBC,LBRY Credits,9975937.37138,-1.76%,$0.053392
441,IHT,IHT Real Esta...,9973578.20583,10.62%,$0.018885
442,CAS,Cashaa,9963428.84508,11.24%,$0.020790
443,SXDT,Spectre.ai Di...,9928218.92853,0.00%,$0.120967
444,WABI,WaBi,9767359.65391,4.96%,$0.215863
445,ATN,ATN,9673300.2374,0.34%,$0.114745
446,INS,INS Ecosystem,9652682.53492,0.98%,$0.318561
447,TNT,Tierion,9583746.09843,0.23%,$0.022367
448,LINDA,Linda,9500398.97953,-9.82%,$0.001050
449,PST,Primas,9447916.88582,-1.28%,$0.179303
450,DCT,DECENT,9324753.83144,-4.16%,$0.181748
451,CREDO,Credo,9275474.47293,1.76%,$0.016868
452,SHIFT,Shift,9259724.22412,-1.35%,$0.748362
453,HOT,Hydro Protocol,9152309.94547,-0.29%,$0.013037
454,LPC,Lightpaycoin,9089199.66573,2.63%,$4.90
455,LYM,Lympo,9057892.99321,3.60%,$0.012024
456,POT,PotCoin,9053838.56831,-2.31%,$0.041057
457,RBY,Rubycoin,8889722.26118,-3.18%,$0.341817
458,SLT,Smartlands,8824432.5585,0.46%,$1.73
459,DMT,DMarket,8814023.92267,-0.34%,$0.175522
460,PLBT,Polybius,8740971.18373,9.21%,$2.20
461,SWFTC,SwftCoin,8718478.62002,1.27%,$0.002395
462,EXC,Eximchain,8707713.34328,-3.52%,$0.129374
463,COSM,Cosmo Coin,8681144.16572,1.05%,$0.029935
464,NPW,New Power Coin,8673565.65368,6.99%,$0.759253
465,CLAM,Clams,8583947.8047,2.77%,$2.69
