,ABV,Coin,Market Cap,Percent Change,Price
0,BTC,Bitcoin,1.14729987404e+11,0.93%,$6632.88
1,XRP,XRP,24270418203.6,7.83%,$0.608725
2,ETH,Ethereum,24058942967.8,1.93%,$235.22
3,BCH,Bitcoin Cash,9354742452.89,-0.22%,$538.35
4,EOS,EOS,5304640538.5,2.09%,$5.85
5,XLM,Stellar,4935576669.74,3.04%,$0.262671
6,LTC,Litecoin,3587166537.25,-0.57%,$61.30
7,USDT,Tether,2799337768.75,-0.16%,$0.997476
8,ADA,Cardano,2240604389.3,2.45%,$0.086419
9,XMR,Monero,1911471220.49,-0.20%,$116.20
10,MIOTA,IOTA,1584164380.87,0.77%,$0.569940
11,DASH,Dash,1575390802.89,0.52%,$188.69
12,TRX,TRON,1475324493.45,2.22%,$0.022439
13,NEO,NEO,1235716826.91,0.34%,$19.01
14,ETC,Ethereum Classic,1190799545.56,-0.10%,$11.35
15,BNB,Binance Coin,1171082815.99,0.10%,$9.97
16,XTZ,Tezos,883895404.409,1.70%,$1.45
17,XEM,NEM,863675574.558,1.11%,$0.095964
18,VET,VeChain,724625136.977,0.80%,$0.013067
19,DOGE,Dogecoin,686331222.14,1.27%,$0.005898
20,ZEC,Zcash,652519564.272,-0.84%,$132.88
21,OMG,OmiseGO,527412344.55,3.64%,$3.76
22,BTG,Bitcoin Gold,450217124.182,-0.70%,$26.08
23,BCN,Bytecoin,407960344.533,-0.72%,$0.002216
24,LSK,Lisk,376374953.429,1.12%,$3.40
25,ONT,Ontology,369595204.699,1.16%,$2.01
26,MKR,Maker,362375057.269,2.34%,$497.61
27,ZRX,0x,352618906.717,-0.98%,$0.653206
28,QTUM,Qtum,346568546.491,1.24%,$3.90
29,DCR,Decred,336430202.326,1.47%,$39.31
30,BTS,BitShares,306094823.969,0.52%,$0.114996
31,NANO,Nano,298664942.506,-0.16%,$2.24
32,BCD,Bitcoin Diamond,296019170.806,1.46%,$1.93
33,ZIL,Zilliqa,276018861.464,1.68%,$0.035476
34,DGB,DigiByte,269286365.608,-1.12%,$0.024792
35,STEEM,Steem,267926528.63,3.83%,$0.964049
36,ICX,ICON,254070854.976,0.03%,$0.655783
37,AE,Aeternity,251758332.499,7.00%,$1.08
38,SC,Siacoin,234345257.78,3.61%,$0.006312
39,XVG,Verge,228735493.99,4.36%,$0.015076
40,WAVES,Waves,220116247.678,0.05%,$2.20
41,BTM,Bytom,185216465.909,2.33%,$0.184755
42,NPXS,Pundi X,183036963.948,4.69%,$0.001567
43,BAT,Basic Attenti...,172325744.471,2.02%,$0.172326
44,ETP,Metaverse ETP,171957559.459,-3.01%,$3.31
45,ETN,Electroneum,160973837.693,-2.04%,$0.020094
46,STRAT,Stratis,160148193.34,-0.96%,$1.62
47,REP,Augur,150935484.138,2.25%,$13.72
48,GNT,Golem,148736418.527,1.39%,$0.155056
49,RDD,ReddCoin,147023046.977,24.27%,$0.005103
50,HOT,Holo,141226219.931,5.57%,$0.001060
51,KMD,Komodo,132138905.655,-0.50%,$1.20
52,SNT,Status,131647681.515,0.28%,$0.037934
53,PPT,Populous,122852363.213,1.06%,$3.32
54,ARDR,Ardor,120906687.072,-1.99%,$0.121028
55,MITH,Mithril,117536426.882,1.97%,$0.303404
56,WTC,Waltonchain,117519319.0,1.76%,$2.93
57,KCS,KuCoin Shares,117389578.481,2.83%,$1.29
58,CNX,Cryptonex,116960596.712,2.15%,$2.11
59,MOAC,MOAC,116391189.722,5.85%,$1.86
60,LINK,Chainlink,112330622.12,-2.58%,$0.320945
61,MAID,MaidSafeCoin,111775426.462,1.09%,$0.246989
62,XET,ETERNAL TOKEN,109279479.907,-14.91%,$1.81
63,IOST,IOST,105887100.567,1.89%,$0.012606
64,TUSD,TrueUSD,103793120.849,-0.08%,$1.00
65,WAN,Wanchain,100657763.298,1.67%,$0.948237
66,HC,HyperCash,98915677.087,0.99%,$2.27
67,HT,Huobi Token,96293173.9757,6.73%,$1.93
68,RHOC,RChain,94285758.607,-5.65%,$0.246180
69,AION,Aion,93314896.8916,0.25%,$0.415111
